Campeonato,ValorTotal,DiasPassados,Dia
,31270022,87,01/08/2019
,31367066,88,02/08/2019
,31471564,89,03/08/2019
,31562928,90,04/08/2019
,31646848,91,05/08/2019
,31886532,92,06/08/2019
,32050739,93,07/08/2019
,32184220,94,08/08/2019
,32315037,95,09/08/2019
,32470550,96,10/08/2019
,32627718,97,11/08/2019
,32757406,98,12/08/2019
,32858977,99,13/08/2019
,32976500,100,14/08/2019
,33078682,101,15/08/2019
,33178456,102,16/08/2019
,33282681,103,17/08/2019
,33381162,104,18/08/2019
,33468400,105,19/08/2019
,33657480,106,20/08/2019
,33756411,107,21/08/2019
,33856415,108,22/08/2019
,33971306,109,23/08/2019
,34166711,110,24/08/2019
,34308450,111,25/08/2019
,34330068,112,26/08/2019
,34330068,113,27/08/2019
The International 2018,1600000,1,08/05/2018
,5669282,2,09/05/2018
,6778536,3,10/05/2018
,7450646,4,11/05/2018
,8004083,5,12/05/2018
,8391285,6,13/05/2018
,8686008,7,14/05/2018
,8958257,8,15/05/2018
,9184922,9,16/05/2018
,9396175,10,17/05/2018
,9600240,11,18/05/2018
,9808825,12,19/05/2018
,9981221,13,20/05/2018
,10134810,14,21/05/2018
,10272276,15,22/05/2018
,10397017,16,23/05/2018
,10523008,17,24/05/2018
,10758954,18,25/05/2018
,10944702,19,26/05/2018
,11089205,20,27/05/2018
,11217409,21,28/05/2018
,11336428,22,29/05/2018
,11450136,23,30/05/2018
,11566586,24,31/05/2018
,12347785,25,01/06/2018
,12649762,26,02/06/2018
,12843582,27,03/06/2018
,12995258,28,04/06/2018
,13135731,29,05/06/2018
,13263170,30,06/06/2018
,13380785,31,07/06/2018
,13507794,32,08/06/2018
,13640505,33,09/06/2018
,13756369,34,10/06/2018
,13852629,35,11/06/2018
,13944010,36,12/06/2018
,14040858,37,13/06/2018
,14134985,38,14/06/2018
,14254873,39,15/06/2018
,14360418,40,16/06/2018
,14450428,41,17/06/2018
,14525769,42,18/06/2018
,14601490,43,19/06/2018
,14672504,44,20/06/2018
,14738261,45,21/06/2018
,14806923,46,22/06/2018
,15197598,47,23/06/2018
,15351086,48,24/06/2018
,15466461,49,25/06/2018
,15567423,50,26/06/2018
,15662939,51,27/06/2018
,17680704,52,28/06/2018
,18353247,53,29/06/2018
,18838363,54,30/06/2018
,19210838,55,01/07/2018
,19448931,56,02/07/2018
,19522493,57,03/07/2018
,19595011,58,04/07/2018
,19662356,59,05/07/2018
,19727561,60,06/07/2018
,19793223,61,07/07/2018
,19855001,62,08/07/2018
,19909807,63,09/07/2018
,19966064,64,10/07/2018
,20023277,65,11/07/2018
,20077275,66,12/07/2018
,20139382,67,13/07/2018
,20201341,68,14/07/2018
,20255170,69,15/07/2018
,20304580,70,16/07/2018
,20354022,71,17/07/2018
,20454702,72,18/07/2018
,20518880,73,19/07/2018
,20586505,74,20/07/2018
,21452060,75,21/07/2018
,21698516,76,22/07/2018
,21858215,77,23/07/2018
,21981907,78,24/07/2018
,22095377,79,25/07/2018
,22200310,80,26/07/2018
,22300135,81,27/07/2018
,22396909,82,28/07/2018
,22479044,83,29/07/2018
,22550986,84,30/07/2018
,22628314,85,31/07/2018
,22909942,86,01/08/2018
,23037184,87,02/08/2018
,23241954,88,03/08/2018
,23376879,89,04/08/2018
,23474278,90,05/08/2018
,23556049,91,06/08/2018
,23651527,92,07/08/2018
,23731444,93,08/08/2018
,23806053,94,09/08/2018
,23882433,95,10/08/2018
,24028898,96,11/08/2018
,24126433,97,12/08/2018
,24229913,98,13/08/2018
,24316851,99,14/08/2018
,24409647,100,15/08/2018
,24488958,101,16/08/2018
,24588578,102,17/08/2018
,24681591,103,18/08/2018
,24778177,104,19/08/2018
,24857152,105,20/08/2018
,24961369,106,21/08/2018
,25073673,107,22/08/2018
,25175345,108,23/08/2018
,25290124,109,24/08/2018
,25439270,110,25/08/2018
,25532022,111,26/08/2018
,25532177,112,27/08/2018
The International 2017,1600000,1,04/05/2017
,4782066,2,05/05/2017
